gene_id	gene_name	rep1_0	rep1_3	rep1_9	rep1_24	rep2_0	rep2_3	rep2_9	rep2_24	rep3_0	rep3_3	rep3_9	rep3_24
BAB72277	asl0319	41.509621	46.166027	24.322666	64.426094	58.296261	17.321936	67.354485	17.709406	23.229605	17.856003	16.211475	38.841515
BAB72278	all0320	68.28994	15.190759	18.132246	12.637207	56.787148	21.857876	17.603193	7.640676	48.344418	10.898005	20.853598	17.539854
BAB72279	all0321	86.199516	26.96188	20.250055	20.54413	68.388199	29.836592	33.088482	20.325094	53.260769	37.364491	35.054871	26.320562
BAB72280		29.879278	12.707523	9.366312	11.81482	28.256893	9.377156	12.9466	9.641015	27.093214	11.886193	14.605291	15.293211
BAB72281	all0323	5.0898	1.905226	0.651728	1.134535	4.282678	1.223765	1.390238	0.709287	1.402067	2.948149	0.240834	3.079113
BAB72282	all0324	13.17141	15.014685	7.9516	13.997468	12.64829	5.923842	14.048427	11.180011	3.568153	11.681142	6.618924	19.726915
BAB72283	all0325	5.113907	7.361239	3.569289	4.453104	4.170027	0.587874	5.38614	3.988824	2.182125	3.313912	7.246607	15.898278
BAB72284	all0326	1.510207	1.930619	0.615949	0.407702	0.415242	1.778144	2.158333	1.422505	0	0	0	0.782226
BAB72285	all0327	19.741846	20.021156	26.689226	60.755451	23.399359	28.775187	63.151119	23.449469	14.728354	36.643894	32.575195	25.326347
BAB72286	all0328	404.94931	80.660698	77.127319	41.285282	462.553192	144.557968	73.899551	38.06683	380.007538	164.225525	94.821396	44.9105
